req_id,domain,iso45001_clause,iso45001_title,bd_legal_reference,requirement,evidence_required,verification_method,frequency,criticality
CM-11,Communication,7.4,Communication,BLA 2006 s.62,Internal and external HSE communication process including SDS in a language workers understand,"Bilingual SDS at point of use, notice boards, incident bulletins",Site walk,Annual,Medium
CM-12,Documentation,7.5,Documented information,BLR 2015 r.363,Controlled HSE documented information retained and maintained,"Document register with version and review dates, retention schedule",Document review,Annual,Medium
CM-13,Operational control,8.1.2,Eliminating hazards and reducing OH&S risks,BLA 2006 s.61 (fencing of machinery); s.63,"Hierarchy of controls applied, with machinery guarded and dangerous parts securely fenced","Guard register, guard audit report, interlock test records",Field verification,Semi-annual,Critical
CM-14,Operational control,8.1.2,Eliminating hazards and reducing OH&S risks,BLR 2015 r.60 & r.62,Valid inspection certificates for lifting machinery and pressure plant,"Third-party certificates for boiler, air receivers, ammonia vessels, hoists and forklifts, with expiry tracking",Certificate audit,Per certificate cycle,Critical
CM-15,Operational control,8.1.2,Eliminating hazards and reducing OH&S risks,BLR 2015 r.58,Valid electrical system certification and maintained installation,"Electrical installation certificate, thermography report, ELCB test records",Certificate audit + field test,Annual,Critical
CM-16,Operational control,8.1.2,Eliminating hazards and reducing OH&S risks,BLA 2006 s.62; s.78A,"Permit to Work system controlling hot work, confined space, work at height, electrical and line breaking","Permit register, closed permits with gas-test and fire-watch records, permit audit findings",Permit audit,Monthly,Critical
CM-17,Operational control,8.1.2,Eliminating hazards and reducing OH&S risks,BLA 2006 s.62,Lockout-Tagout applied to all energy isolation during maintenance and cleaning,"LOTO procedure, equipment-specific isolation sheets, padlock register, LOTO audit",Field verification,Quarterly,Critical
CM-18,PPE,8.1.2,Eliminating hazards and reducing OH&S risks,BLA 2006 s.62; s.78A; s.86,"PPE provided free of charge, matched to the assessed hazard, and used","PPE hazard-matching matrix, issue register, fit-test records for respirators and hearing protection, compliance observation data",Field observation + records,Monthly,High
CM-19,Change,8.1.3,Management of change,BLA 2006 s.61-62,"HSE review before new plant, chemicals, processes or layout changes are commissioned","MOC register with pre-start safety review sign-off",Document review,On change,High
CM-20,Contractors,8.1.4,Procurement,BLA 2006 s.62; s.150,"Contractor HSE pre-qualification, induction, method statements and performance monitoring","Contractor pre-qualification scores, induction records, approved method statements, contractor incident data",Document review + gate audit,Per contract,Critical
CM-21,Emergency,8.2,Emergency preparedness and response,BLA 2006 s.62; s.89; Fire Prevention and Extinction Act 2003 ss.4 & 8,Fire licence valid; means of escape adequate and unobstructed; alarm and detection functional,"Fire licence, escape-route weekly checklist, alarm and detection test records, extinguisher servicing records",Field verification + certificate audit,Monthly / annual licence,Critical
CM-22,Emergency,8.2,Emergency preparedness and response,BLA 2006 s.62; BNBC 2020 Part 4,Documented emergency plan and periodic drills including scenario-specific drills,"Emergency plan, drill records with muster times and debriefs, at least one night-shift drill and one ammonia scenario per year",Drill observation,Quarterly,Critical
CM-23,First aid,8.2,Emergency preparedness and response,BLA 2006 s.89; BLR 2015 r.76-78,First-aid boxes to the prescribed scale and certified first-aiders on every shift,"First-aid box inventory checks, first-aider certificates and shift roster",Field verification,Monthly,High
CM-24,Health,9.1.1,Monitoring measurement analysis and evaluation,BLA 2006 s.79c; BLR 2015 r.68(4) & (5),Health checks for workers engaged in dangerous operations,"Occupational health examination records, exposure register by similar exposure group, audiometry results",Records audit,Annual,High
CM-25,Hygiene,9.1.1,Monitoring measurement analysis and evaluation,BLA 2006 s.51-59; BLR 2015 r.50,"Workplace hygiene: ventilation, lighting, temperature, drinking water with certificate, sanitation to scale","Hygiene survey, drinking-water test certificate, lux and WBGT survey, toilet-to-worker ratio",Field survey,Annual,High
CM-26,Compliance,9.1.2,Evaluation of compliance,BLA 2006; BLR 2015,Periodic evaluation of compliance with legal requirements,"Compliance evaluation report with non-conformances and corrective actions",Internal audit,Semi-annual,High
CM-27,Audit,9.2,Internal audit,BLR 2015 Schedule IV,Planned internal HSE audit programme covering the whole management system,"Audit programme, audit reports, non-conformance and corrective-action register with closure dates",Document review,Semi-annual,High
CM-28,Review,9.3,Management review,BLA 2006 s.62,Top management reviews the OH&S management system at planned intervals,"Management review minutes covering incidents, audit results, KPI performance, legal changes and resources",Document review,Annual,High
CM-29,Incidents,10.2,Incident nonconformity and corrective action,BLA 2006 s.80 (notice of accident); BLR 2015 r.73 & Schedule IV(2),Accidents notified to the authority as required and investigated with root causes and corrective actions,"Statutory accident notification copies, investigation reports with root-cause analysis, CAPA register with verification of effectiveness",Records audit,Per incident,Critical
CM-30,Improvement,10.3,Continual improvement,BLA 2006 s.62,Demonstrated continual improvement of HSE performance,"Trend analysis of leading and lagging indicators over at least 24 months",Data review,Annual,Medium
CM-31,Building safety,8.1.2,Eliminating hazards and reducing OH&S risks,BLA 2006 s.88 & s.326; BNBC 2020 Part 3 & 6,Structural adequacy of buildings certified and maintained,"Structural assessment report by a licensed engineer, occupancy and load-limit signage per floor",Certificate audit,Per BNBC cycle,Critical
CM-32,Environment,9.1.2,Evaluation of compliance,Environment Conservation Act 1995; Environment Conservation Rules 1997,"Valid Environmental Clearance Certificate; effluent and emissions within the prescribed standards","ECC with renewal tracking, monthly effluent test reports, bi-annual stack monitoring reports",Certificate + test-report audit,Monthly / annual renewal,Critical
CM-33,Environment,6.1.3,Determination of legal requirements,Environment Conservation Rules 1997,"Hazardous and general waste segregated, stored and disposed through authorised routes","Waste inventory, disposal manifests from licensed contractors, sludge disposal records",Document review + site walk,Quarterly,High
CM-34,Weights,6.1.2,Hazard identification and assessment of risks,BLA 2006 s.74 (excessive weights); BLR 2015 r.63,No worker required to lift or carry a load likely to cause injury,"Manual-handling assessment, mechanical-aid inventory, weight limits posted",Field verification,Annual,Medium
CM-35,Reprisal,5.4,Consultation and participation of workers,"BLA 2006 s.86; BLR 2015 r.79 & Schedule IV 1, 11 & 12",Workers protected from reprisal when reporting hazards or removing themselves from imminent danger,"Just-culture policy, grievance records, worker interview evidence",Worker interview,Annual,High
